text,date
"Ready for the festivities that are yet to come, she writes to her loved ones while dressed in the rich tones of winter. Wrapped in ready-to-wear fits of raw silk and jacquard with damask-inspired prints and embroideries.

#ReadyToWear #FestiveWear #Khaadi #WearYourself",29/10/2023
"Lights, camera, action. Let’s get your style sorted ft. Sabeena Farooq. Let Sabeena be your chaperone for all your AM-to-PM looks this winter. 

Available in-store and online on 27th October.

#ADayInTheLifeOfSabeenaFarooq #SabeenaFarooq #ReadyToWear #Khaadi #WearYourself",24/10/2023
"Radiant in red.

Play with print this season and create your vibe featuring warm fabrics in jewel tones.

Khaadi Fabrics Collection.

Available in-stores and online https://tinyurl.com/The-print-story.

#WinterCollection #KhaadiFabrics #Khaadi #WearYourself",18/10/2023
"Paint your own story where the sea meets the golden sky, where the jewel tones invite you to express yourself in a way that’s unapologetically and magically yours.

Available in-stores and online https://tinyurl.com/The-print-story.

#WinterCollection #KhaadiFabrics #Khaadi #WearYourself",14/10/2023
"The Formal Edit – celebrate in the colours of fall.

Explore exquisite fabrics in dull raw silk, jacquard and cotton satin featuring warm tones, intricate embroideries, and unique patterns.

Khaadi Fabrics Collection.

#FabricsCollection #Fall23 #Khaadi #WearYourself",20/09/2023
"Artist and aspiring filmmaker SamioRenalda rocks the retro vibe while capturing a glimpse of Manchester's cityscape. She’s giving us serious style envy with her choice of looks.

#Khaadi #CityScape #ManchesterDiaries #StyleWithSamio #Coords #Dress #FashionJourney",16/09/2023
"Portrait photographer and lifestyle content creator rosieannbutcher exudes effortless style and comfort as she starts her day walking through the streets of Manchester.  

#Khaadi #CityScape #ManchesterDiaries #StyleWithRosie #Coords #FashionJourney",16/09/2023
"What a perfect me-time looks like.

Feel the changing air, the mellow skies and the browning of the leaves as the season transforms. In between the fading summer sun and the chilly days.

Khaadi Ready-to-Wear Collection.

#KhaadiReadyToWear #Khaadi #WearYourself",13/09/2023
"Spontaneous and lively with a burst of freshness.

Keep yourself eclectic from AM to PM with our refreshingly playful, over-the-top geometric prints and flattering fits in brighter-than-ever tones.

Ready-to-Wear Collection.

#AMtoPM #KhaadiReadyToWear #Khaadi #WearYourself",04/09/2023
"In the midst of the bustle, she is lost in her own world where time is an abstract idea and spontaneity thrives, she sets free her true self – spirited, easy breezy and vibrant. 

Khaadi Ready-to-Wear.

#KhaadiReadyToWear #Khaadi #WearYourself",28/08/2023
"The banter, the laugh, the love.

It’s always fun dressing up with your sister but when it’s Sabah & Sarah, it gets even better. Take inspo from the duo on styling fabrics with your own little twist.

Khaadi Fabrics Collection.

#SabahSarah #KhaadiFabrics #Khaadi #WearYourself",23/08/2023
"Jugnu – Daring, energetic and spontaneous.
Defying the dark with their radiant glow, our daring Jugnus fly out as the star-studded sky falls for a whimsical journey. 

KhaadiReady-to-Wear Collection.

#ReadyToWear #Khaadi #WearYourself",18/08/2023
"Proud to be a Pakistani, today, tomorrow and forever.

Happy Independence Day.

#IndependenceDay #Khaadi #WearYourself",14/08/2023
"A shopaholic’s true love: sale.

We have all the trendy styles for you at incredible deals. Check them out.

Available in-stores and online.

#SummerSale #Khaadi #WearYourself",09/08/2023
"Zara’s nine-to-five – Wes Anderson style.

Get through the highs and lows of the week in style with our Khaadigirl, Zara. From manic Mondays to chilled-out Fridays, get the workwear inspolooks. 

Khaadi Ready-to-Wear Collection.

#ReadyToWear #Khaadi #WearYourself",30/07/2023
"Our Khaadi girl, Sarah, is here with even more drama and sass.

Five looks, five prints and five vibes featuring Sarah’s eclectic energy and sass. 

Khaadi Ready-to-Wear Collection.

*Our muse wears a size 14*

#KhaadiReadyToWear #MatchingSet #Khaadi #WearYourself",24/07/2023
"Better together <3

It’s time to wrap yourself in your favouritefloral prints. Get into the vibe and wear yourself in our summer fabrics collection for a breezy day with your girls.

Khaadi Summer Fabrics Collection.

#SummerFabrics #Khaadi #WearYourself",20/07/2023
"Our summer queens are ready to take over Hawksbay.

Chase the sun, dip your toes in the ocean waves, and let the summer breeze take you to the beach with our queens. 

Khaadi Summer Fabrics Collection.

#SummerFabrics #Khaadi #WearYourself",18/07/2023
"A colour for every mood, a colour for every vibe.

Be the mastani, deewani or rangeen that you are and wear your mood on your sleeve, literally, through colour. 

#SummerFabrics #Khaadi #WearYourself",14/07/2023
"Chilling under the summer sky – The Khaadi way.

My summer picnic is all about enjoying fresh bites and sipping on chilled drinks in popping tableware. What about you?

#HomeDecor #KhaadiHome #Khaadi",12/07/2023
"Major summer style inspo for you.

Curate this season’s ultimate wardrobe with colours, prints and fabrics that yell summer.

Khaadi Ready-to-Wear Collection.

Available in-stores and online in Pakistan.

#MaryamRajaxKhaadi #ReadyToWear #SummerCollection #Khaadi #WearYourself.",10/07/2023
"Midnight Musk – Magical, mysterious and charming.
A midnight muse, she graces the starry night, casting an enchanting spell wherever she goes. 

Khaadi Fragrances.

#WearYourScent #Khaadi #WearYourself",06/07/2023
"This makes us wanna plan a getaway.

Looking for a fresh look to go with that vacation? We got you. Get the island glam in eclectic dresses and matching sets in hassle-free ripple and cotton fabric.

Khaadi Ready-to-Wear Collection.

#SummerLook #ResortWear #Khaadi #WearYourself",03/07/2023
"The Gota Girls – traditional, daring and deewani.

These vibrant souls embrace tradition with a flair for making a bold statement. When it comes to celebrations, they go all out, embracing an ethos of ""more is more.""

#FestiveCollection #Khaadi #WearYourself",21/06/2023
"Bet these styling tips will change your life! 

Learn the art of styling with Sumrah and Sana. Find out the silhouettes and prints that work best for your body type. 

#StylingTips #ProportionPlay #Khaadi #WearYourself",13/06/2023
"Summer calls for some funky slides.

Make your summer fits shine with the perfect slides. From statement-worthy eclectic tones to everyday neutrals, there is a slide for every vibe.

#SummerFlats #Khaadi #WearYourself",12/06/2023
"A blue for every mood.

Be it a sunny day or a starry night, there is a blue for every hour. Create your summer look in stunning prints that are truly made for the season.

Summer Fabrics Collection.

#SummerPrints #Khaadi #WearYourself",10/06/2023
"Serving you the prints of the season.

Summer Fabrics Collection.

#SummerPrints #Khaadi #WearYourself",07/06/2023
"The Print Story - A tale of print, colour and fashion.
Embrace the beauty of self-expression and craft your story through our summer fabrics collection.

Khaadi Fabrics Collection.

#FabricsCollection #Khaadi #WearYourself",06/06/2023
"Wear yourself in ready-to-wear fits including kalidar kurtas and short shirts paired with tulip shalwars, culottes and more. Let the colours and print of chunri paint the festive vibe for you this season.

#KhaadReadyToWear #Khaadi #WearYourself",01/06/2023
"Mastani – Chunri ready-to-wear collection

Celebrate the everlasting art of chunri in all ways festive and vibrant with Mastani. Infused with fresh colours, Mastani is perfect for the free-spirited and lively one with a traditional flair.

#KhaadiReadyToWear #Khaadi #WearYourself",30/05/2023
"Summer glam is served.

Summer Fabrics Collection.

#KhaadiFabrics #Khaadi #WearYourself",25/05/2023
"Todays mood: florals and pastels

Set a soothing vibe when the sun is out with printed cambric suits in pastel tones and beautiful organza details.

Summer Fabrics Collection.

#KhaadiFabrics #Khaadi #WearYourself",23/05/2023
"Step into the world of Rangeen, where summer comes alive through our fabrics collection. Explore a kaleidoscope of colours, enchanting floral prints, and intricate details in dobby, organza, cambric, and jacquard.

#KhaadiFabrics #Khaadi #WearYourself",22/05/2023
"Colour yourself Rangeen – summer fabrics collection.

It’s your time to shine in the bright sun and make a statement in our summer fabrics collection – Rangeen. Wear yourself in prints and colours that capture the true essence of the season.

#KhaadiFabrics #Khaadi #WearYourself",19/05/2023
"A little heads-up is always good.

Available in stores and online.

#SummerTees #Khaadi #WearYourself",18/05/2023
"Say hello to the sun in comfy and fun tees – the perfect summer wardrobe staple. Inject an exciting and playful vibe into your everyday look with tees in eclectic prints and colours that are made for this season.

Available in-stores and online.

#SummerTees #Khaadi #WearYourself",16/05/2023
"Paisleys on my mind. 

#Khaadi #WearYourself",02/05/2023
"Hope your Eid is as amazing as you. Eid Mubarak.

#EidMubarak #Khaadi #WearYourself",21/04/2023
"Gul Rang.  

Celebrate Eid in vibrant colours of Gul Rang – a bold, rich and euphoric collection. Featuring fusion silhouettes with exquisite embellishments in gold lurex, candle and sequins, inspired by the subcontinental crafts and heritage.

#KhaasReadyToWear #Khaadi",20/04/2023
"Made to shine. 

Celebrate festivities in viscose oak silk and pastel tones. 

Khaas ready-to-wear collection. 

#KhaasReadyToWear #Khaadi #WearYourself",19/04/2023
"Matching the sky with fresh tones.

Sort your festive look with traditional fits in dreamy tones. Explore embroidered tunics, detailed necklines and scalloped borders. 

Khaadi ready-to-wear collection. 

Available in-stores and online. 

#KhaadiReadyToWear #Khaadi #WearYourself",17/04/2023
"Bahaar – a breath of fresh air.
Embellished with intricate embroidery in lace-inspired and floral patterns with beautiful schiffli details, Featuring soft tones of pinks, yellows and blues, this ready-to-wear collection is a perfect epitome of freshness.",15/04/2023
"Crushing on these neons. 

Brighten up your Eid with chic ready-to-wear silhouettes, floral prints and fluorescent tones.  

Available in-stores and online at https://bit.ly/43qcLsL

#KhaadiReadyToWear #DopamineBrights #Khaadi #WearYourself",12/04/2023
"Fresh. Floral. Festive.

Khaadi ready-to-wear collection. 

Now available in stores and online at http://bit.ly/3GJWRQj

 #KhaadiReadyToWear #Khaadi #WearYourself",10/04/2023
"Feels like Eid. 

Khaadi Ready to Wear collection. 
Now available in stores and online at http://bit.ly/3GJWRQj

#KhaadiReadyToWear #Khaadi #WearYourself",08/04/2023
"Sway in the magic of festivities.

Get all your day to night Eid looks sorted with our finest fabrics. Set your vibe and style them your way.

#Khaadi #WearYourself",04/04/2023
"Come and discover the experiences we have for you at the Experience Hub, LuckyOne Mall.
 
Over to you!

#KhaadiExperienceHub #Khaadi #WearYourself",02/04/2023
"Taking the retail journey to another level, the Experience Hub at LuckyOne Mall is an explosion of creativity, colour and innovation.",01/04/2023
"Taking the retail journey to another level, the Experience Hub at LuckyOne Mall is an explosion of creativity, colour and innovation.

Opening on 1st April.

#KhaadiExperienceHub #Khaadi #WearYourself",31/03/2023
"Come one, come all!
Khaadi Experience Hub opens at LuckyOne Mall, Karachi on 1st April, and we can’t wait to have you. 

#KhaadiExperienceHub #WearYourself #Khaadi",30/03/2023
"Save the date!

Celebrate Eid with us and let Khaadi be the one-stop shop for all Eid preps. 

#Khaadi #WearYourself",29/03/2023
"Hira is invited and so are you. 

Bring your vibe, mood and style to the Eid celebrations.  

#Khaadi #WearYourself",27/03/2023
"Fareeha is excited for the Eid festivities. What about you?

#Khaadi #WearYourself",27/03/2023
"Emaan and Jamil are set for the festivities. 

It’s a feast and you’re invited. 
Bring your vibe, mood and style to the Eid celebrations. 

#Khaadi #WearYourself",27/03/2023
"Pakistan is all that and more for us. What is Pakistan for you?

#PakistanDay #Khaadi #WearYourself",23/03/2023
"Let’s open our hearts to the spirit of giving during Ramadan. 

#RamadanMubarak #Khaadi #WearYourself",23/03/2023
"Keeping it sharp and simple.

Explore silhouettes that go with your vibe. Choose from a range of kurtas, button-downs and matching sets and get it stitched. 

#KhaadiMan #Khaadi #WearYourself",21/03/2023
"We have opened up at Square One Mall, Gulshan e Iqbal, Karachi today. This new store has been designed to offer our customers a carefully curated journey for everyday wear from the Woman Fabrics and Ready To Wear, Fragrances, Shoes & Accessories.
 We are ready for you.",18/03/2023
"Outfit that looks like sunset.

#Ombre #Khaadi #WearYourself",15/03/2023
"With explicit attention to detail ranging from textures to color patterns, the kaleidoscopic world of Khaadi unfolds with the launch of Experience Square in Y Block, DHA, Lahore today. 

This retail space is an expression of our passion for design, art and culture.",11/03/2023
"Evoke your senses at the Khaadi Experience Square like never before. 

Join us on 11th March at the launch of the Khaadi Experience Square in Y Block, DHA, Lahore and watch the kaleidoscopic world of Khaadi unfold.

#ExperienceSquare #UnleashYourSenses #Khaadi",09/03/2023
"Let’s celebrate women’s day by committing to know, value and embrace equity by lifting women in all facets of life. 

Happy Women’s Day. 

#EmbraceEquity #IWD2023 #Khaadi",08/03/2023
"Feelin’ the glam, lovin’ it. 

Explore your style with our range of cinched and belted dresses, perfect for a fancy night out. 

Available in-stores and online

#Khaadi #Wearyourself",07/03/2023
"Sadaf’s grace, Sarah’s charm, Yasmeen’s funk or Manahyl’s glam.  
Choose the way you want to wear it with our Lawn’23. 
Available in-stores and online. 
#TheWaySheWearsIt #Khaadi #WearYourself",22/02/2023
"It’s bright. It’s soothing. It’s edgy. It’s the way she wears it. 
Style yourself the way you want with our Lawn’23.
Available in-stores and online. 
#TheWearSheWearsIt #Khaadi #WearYourself",21/02/2023
"Calm is her charm.
The way Sadaf wears it is easy, breezy and soft. How do you like to wear it?

Lawn’23 available in-stores and online.

#TheWaySheWearsIt #lawn2023 #Khaadi #WearYourself",20/02/2023
"A lil’ bit of sass, a lil’ bit of drama. 
The way Sarah wears it is bold, bright and wild. How do you like to wear it?

Lawn’23 available in-stores and online.
#TheWaySheWearsIt #lawn2023 #Khaadi #WearYourself",19/02/2023
"She’s her own muse.
The way Yasmeen wears it is trendy, edgy and funky. How do you like to wear it?

Lawn’23 available in-stores and online.

#TheWaySheWearsIt #lawn2023 #Khaadi #WearYourself",19/02/2023
"Born to shine.
The Way Manahyl wears it is chic, glamorous and glitzy. How do you like to wear it?

Lawn’23 available in-stores and online.

#TheWaySheWearsIt #lawn2023 #Khaadi #WearYourself",18/02/2023
"Spring’23 is a mix of vintage and current fashion trends. Get ready for some era mixing through our chic and relaxed fits. With tiered dresses, narrow shalwars, long kalidars, flared pants and bootcuts, our Spring’23 collection is everything nostalgic.

#EraMixing",16/02/2023
"Inspired by the newest medium, ink, our Spring’23 collection gives an easy update for florals, animal prints and polka dots through #InkedImpressions. With a pastel hued palette and #SoftFocus effect, the collection is nothing short of being soothing and everything dreamy.",15/02/2023
"Spring’23 palette is inspired by sunset skies and soothing hues. Composed of soft washed-out hues, dusted pastels and muted tones of pinks, blues and digital lavender, the collection ends your quest for contentment, helps you create #RetroResort looks and makes you feel calm.",14/02/2023
"Take notes of what to get for your valentine. 

Do you know the secret of a happy wife? A gift she will love. 

#Khaadi #WearYourself",14/02/2023
"Alita and Aima are sorted for galentine’s. Are you?

#Khaadi #WearYourself",13/02/2023
"We welcome you to The Khaadi Experience Centre at Emporium Mall, where the experience is forefront with 3D art and branding installations, including the first-ever rendition of Kreate Your Mark. We can't wait to provide you with the most desirable customer experience.",11/02/2023
"The Khaadi Experience Hub is bustling and we are here for it. 
My Cactus Romance by Areesha Junejo, Zar The Gota Art by Hoor and Sitarey by Mehnaz are all set to welcome you on the 27th January at the Khaadi Experience Hub, Dolmen Mall Clifton.",27/01/2023
"Khaadi Big Winter Sale is here. It’s time to buy the best winter items upto 50% off.
In-stores and online in Pakistan: https://bit.ly/3WiFgns

#TheBigWinterSale #Khaadi #WearYourself",19/01/2023
"The art of hosting – outdoor living room style.
This winter, make the most of your outdoor living room. Blur the lines by bringing indoor comfort to the outdoor space and host memorable winter evenings.
Available in-stores in Pakistan.

#Khaadi #KhaadiHome #WearYourself",17/01/2023
"The art of hosting – outdoor living room style.
Bold patterns and textures with a touch of romance will create cozy, dreamy nights of hosting. 
Available in stores in Pakistan.",16/01/2023
"Shamoon Sultan shared insights on staying relevant in the retail landscape at a panel discussion organized by 

@LANDOR_FITCH
. Key clients learned about creating brand-led human connections in retail & transforming the shopping experience. 
https://bit.ly/3XmC8HZ",12/01/2023
"Feel fresh, bold, and bright.
Set the vibe right and take your pick from our wide range of fresh, floral, and bold notes.
 Available in stores and online https://bit.ly/3XcOwu4 
 #WearYourScent #Khaadi #WearYourself",11/01/2023
"Reminisce the folk crafts of Phulkari

#WearYourself #Khaadi",06/01/2023
"Let's play with prints this season!

From muted tones to vibrant colors, our signature collection covers it all.

#ReadyToWear #wearyourself",03/01/2023
"Make it full of life.

#HappyNewYear #WearYourself #Khaadi",01/01/2023
"Immerse yourself in an elevated experience where we express our fragrance nodes through elements of nature. Discover your scent at The Khaadi Fragrance Pop-Up at Dolmen Mall Clifton and Lucky One. 
#WearYourScent #WearYourself #Khaadi",28/12/2022
"Don’t miss out on the Khaadi Year End Sale.
 
So many styles to choose from. Select your favorite Ready-to-Wear outfit.
 
Available in-store and online.

#YearEndSale #WearYourself #Khaadi",27/12/2022
"The most exciting Year End Sale is here.
Get your hands on your favorite fabrics and style it your way.

Available in-store and online

#YearEndSale #WearYourself #Khaadi",26/12/2022
"The most exciting Year End Sale is here.

It’s time for a shopping spree.

Available in-store and online in Pakistan, Canada, US & other countries.

UK & UAE: 25th December online and 26th December in-store.

#YearEndSale #Khaadi #WearYourself",22/12/2022
"Royal, rich and rooted.

All the inspo you need to make the festivities brighter, richer and regal. 

#KhaadiKhaas #FestiveCollection #WearYourself",20/12/2022
"The royal hues you can't resist.

Our winter festive selection is all about detailed embellishments and rich colours.

#khaasfabrics #wearyourself",16/12/2022
"Think pink with a touch of tangerine. 

#Khaadi #WearYourself",14/12/2022
We pulled out all the stops to celebrate our 24th birthday! Our 'away' day didn't just celebrate Khaadi but celebrated moments of togetherness. We believe that collaboration and building strong relationships are an important part of our transformation journey.,14/12/2022
"It’s shoe time!

Slide in style with our range of flats, heels and more. 

#KhaadiShoes #WearYourself",12/12/2022
"Get your runway mode on with our khaddar fabrics in pastel, warm and vibrant hues. 

#KhaadiFabrics #WearYourself",09/12/2022
"We’ve opened our third & largest Khaadi Outlet at Fortress Square Mall, Lahore. It has been designed to offer customers a retail experience with a carefully curated journey for discounted products ranging from Woman Fabrics, RTW, Fragrances, Shoes & Accessories to Man Fabrics.",08/12/2022
"One fit, so many ways to slay.

Available in-stores and online.

#wintercollection #ReadyToWear",08/12/2022
"Mix, match and slay!

#WinterWear #Khaadi",07/12/2022
"Cozy, but make it cool.

Available in-stores and online.

#Khaadi #WearYourself",05/12/2022
"The Khaadi Home edit, the Tinath way.

From classic to festive, here’s the bedroom décor guide you need. 

Available in-stores in Pakistan.

#Khaadi #KhaadiHome #WearYourself",04/12/2022
"This tee is hitting all the right notes.

#TasteMatters  #CocaCola #WearYourself 
#ReadyToWear #Khaadi",02/12/2022
"CONTRAST

Winter 22 by Chapter 2 

Chapter 2’s collection is designed for confident, mindful, and spirited women with much more substance than what appears to the eye. Our women and fabrics are intertwined by multiple contrasting patterns that exude energy and power.

#Chapter2",01/12/2022
"Anyone else really picky about getting the perfect shade? 

Our Ready to Wear Signature collection offers velvets, silks & jacquards – mixed with golds to make you shine from day to night this winter season.

Available in-stores and online.

#Khaadi #WearYourself",28/11/2022
"Shine. sparkle. smile. repeat.

The Khaadi Party never stops.

#Khaadi #WearYourself",25/11/2022
"Bold, edgy, wrapped in glamour. 

These day to night fits in marina are all you’ll be reaching for this season. 

Available in-stores and online.

#Khaadi #WearYourself #KhaadiFabrics",23/11/2022
"We're proud to have won Gold for the Best in Brand Experience category at the Transform Awards Asia 22 in collaboration with 
@LANDOR_FITCH
 for the Experience Hub. Our focus was on the customer journey & product, to deliver a retail experience exceeding customers' expectations.",23/11/2022
